rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,text_word_am,text_word_pm,label,event_id
605,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,visitor_info1_live,20,604,Div,18,0,,0,0,0,false,false,false,true,1,0.8333333,0.055555556,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
606,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,tries to estimate the users' bandwidth on pages with integrated youtube videos.,20,604,Div,79,1,,0,0,0,false,false,false,true,12,0.835443,0.0,0.1392405,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
608,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: 180 days,21,607,Div,10,0,,1,1,0,false,false,false,false,3,0.4,0.3,0.2,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
609,Unknown,,maximum storage duration,22,608,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
610,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: http cookie,21,607,Div,13,1,,1,1,0,false,false,false,false,3,0.7692308,0.0,0.15384616,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
611,Unknown,,type,22,610,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
613,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,ysc,20,612,Div,3,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
614,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,registers a unique id to keep statistics of what videos from youtube the user has seen.,20,612,Div,87,1,,0,0,0,false,false,false,true,16,0.81609195,0.0,0.1724138,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
616,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,615,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
617,Unknown,,maximum storage duration,22,616,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
618,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: http cookie,21,615,Div,13,1,,1,1,0,false,false,false,false,3,0.7692308,0.0,0.15384616,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
619,Unknown,,type,22,618,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
621,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-icons-last-purged,20,620,Div,20,0,,0,0,0,false,false,false,true,1,0.85,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
622,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,necessary for the implementation and functionality of youtube video-content on the website.,20,620,Div,91,1,,0,0,0,false,false,false,true,12,0.85714287,0.0,0.12087912,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
624,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: persistent,21,623,Div,12,0,,1,1,0,false,false,false,false,2,0.8333333,0.0,0.083333336,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
625,Unknown,,maximum storage duration,22,624,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
626,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,623,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
627,Unknown,,type,22,626,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
629,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,ytidb::last_result_entry_key,20,628,Div,28,0,,0,0,0,false,false,false,true,1,0.8214286,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
630,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,used to track user’s interaction with embedded content.,20,628,Div,57,1,,0,0,0,false,false,false,true,8,0.8363636,0.0,0.12727273,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
632,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: persistent,21,631,Div,12,0,,1,1,0,false,false,false,false,2,0.8333333,0.0,0.083333336,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
633,Unknown,,maximum storage duration,22,632,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
634,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,631,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
635,Unknown,,type,22,634,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
637,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,ytidbmeta#databases,20,636,Div,19,0,,0,0,0,false,false,false,true,1,0.94736844,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
638,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,used to track user’s interaction with embedded content.,20,636,Div,57,1,,0,0,0,false,false,false,true,8,0.8363636,0.0,0.12727273,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
640,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: persistent,21,639,Div,12,0,,1,1,0,false,false,false,false,2,0.8333333,0.0,0.083333336,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
641,Unknown,,maximum storage duration,22,640,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
642,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: indexeddb,21,639,Div,11,1,,1,1,0,false,false,false,false,2,0.8181818,0.0,0.09090909,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
643,Unknown,,type,22,642,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
645,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-cast-available,20,644,Div,24,0,,0,0,0,false,false,false,true,1,0.875,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
646,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,644,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
648,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,647,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
649,Unknown,,maximum storage duration,22,648,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
650,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,647,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
