iter	Passed	Remaining
399	30525	45787
400	30602	45712
401	30671	45626
402	30739	45536
403	30822	45471
404	30902	45400
405	30977	45322
406	31052	45243
407	31127	45165
408	31210	45098
409	31283	45017
410	31358	44938
411	31437	44866
412	31511	44787
413	31582	44704
414	31649	44614
415	31716	44524
416	31785	44438
417	31856	44355
418	31927	44272
419	32002	44194
420	32068	44104
421	32139	44019
422	32208	43934
423	32279	43851
424	32354	43773
425	32432	43700
426	32503	43616
427	32573	43532
428	32641	43446
429	32713	43364
430	32798	43300
431	32887	43240
432	32957	43157
433	33030	43076
434	33108	43002
435	33178	42918
436	33249	42835
437	33320	42753
438	33393	42674
439	33476	42607
440	33551	42529
441	33621	42445
442	33689	42359
443	33759	42275
444	33831	42194
445	33901	42111
446	33972	42028
447	34052	41957
448	34123	41875
449	34200	41800
450	34293	41744
451	34364	41663
452	34431	41576
453	34529	41526
454	34604	41449
455	34669	41360
456	34734	41271
457	34802	41185
458	34871	41100
459	34947	41025
460	35025	40951
461	35094	40867
462	35161	40780
463	35234	40701
464	35306	40621
465	35384	40548
466	35463	40474
467	35533	40392
468	35601	40307
469	35668	40222
470	35747	40149
471	35830	40081
472	35913	40013
473	35987	39934
474	36066	39862
475	36143	39788
476	36219	39712
477	36293	39633
478	36361	39549
479	36437	39473
480	36510	39394
481	36577	39309
482	36647	39227
483	36728	39156
484	36812	39090
485	36923	39050
486	37004	38979
487	37076	38899
488	37152	38824
489	37226	38745
490	37299	38666
491	37380	38596
492	37456	38520
493	37528	38439
494	37597	38357
495	37685	38293
496	37775	38231
497	37848	38152
498	37925	38077
499	38005	38005
500	38091	37939
501	38162	37858
502	38236	37779
503	38311	37703
504	38388	37628
505	38484	37571
506	38553	37489
507	38631	37414
508	38707	37338
509	38795	37274
510	38863	37190
511	38927	37102
512	39000	37024
513	39077	36949
514	39151	36871
515	39219	36787
516	39288	36705
517	39357	36622
518	39430	36543
519	39504	36465
520	39571	36381
521	39638	36297
522	39705	36213
523	39776	36132
524	39866	36069
525	39944	35995
526	40016	35915
527	40089	35837
528	40156	35753
529	40225	35671
530	40290	35585
531	40363	35508
532	40439	35431
533	40512	35353
534	40581	35271
535	40654	35193
536	40722	35110
537	40793	35030
538	40864	34951
539	40939	34874
540	41003	34788
541	41073	34707
542	41141	34625
